Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Anguilla,9.0,0.0,17.1,16.6,8.1,7.9,31.0,30.4,7.5,,,,
Antigua and Barbuda,6.4,8.9,6.2,6.2,4.9,3.6,13.2,20.1,18.7,18.5,6.9,,11.2
Aruba,,,5.3,4.1,2.0,12.0,9.9,5.9,4.9,3.9,3.9,,
Bahamas,24.9,14.2,16.8,15.8,13.6,15.8,18.2,22.8,21.0,24.5,26.1,34.7,29.8
Barbados,7.5,9.3,9.3,12.2,8.1,10.6,12.7,9.8,9.0,6.8,11.1,9.6,7.4
British Virgin Islands,0.0,4.7,4.6,9.0,17.8,,8.4,,,,,,
Cayman Islands,9.6,4.9,0.0,7.4,12.3,,2.0,3.9,7.6,14.7,,,
Cuba,,,,,,,,,,,,,4.2
Dominica,2.9,1.4,12.9,11.4,11.4,11.3,7.1,9.9,9.9,18.3,21.1,,
Dominican Republic,14.0,12.4,14.3,21.0,24.3,25.6,22.6,22.0,24.6,24.0,24.7,24.8,22.1
Grenada,14.8,5.9,13.7,8.8,5.8,10.7,11.6,10.6,15.4,6.7,9.6,3.8,13.3
Guadeloupe,,,,,5.9,5.2,5.4,6.4,7.1,7.9,,,
Haiti ,,,,,,,,5.1,5.2,6.1,6.8,9.1,10.2
Jamaica,34.4,43.7,39.8,36.8,55.2,62.4,49.7,58.5,59.5,61.6,52.6,41.1,39.3
Martinique,,,,,4.8,4.8,5.8,5.8,4.3,2.7,,,
Montserrat,0.0,0.0,0.0,0.0,0.0,20.9,20.6,,20.4,,,,
Puerto Rico,18.3,19.7,20.6,20.8,21.1,20.5,19.9,19.6,21.6,24.0,26.5,,26.5
Saint Kitts and Nevis,6.6,13.0,10.7,21.0,22.7,16.3,34.1,31.7,45.0,52.2,40.1,64.2,33.6
Saint Lucia,14.7,21.4,26.2,22.3,22.6,24.8,25.6,17.0,22.6,22.3,24.8,,21.6
Saint Vincent and the Grenadines,18.5,11.1,18.5,16.6,25.8,21.1,11.9,33.0,14.7,18.3,22.9,19.2,25.6
Trinidad and Tobago,9.5,11.9,13.4,17.8,20.1,29.8,28.5,29.8,41.6,38.3,35.6,26.4,28.3
Turks and Caicos Islands,0.0,0.0,11.3,0.0,0.0,0.0,,,6.8,6.6,,,
United States Virgin Islands,22.1,25.8,37.8,28.5,34.2,32.5,40.0,40.1,42.1,46.9,52.6,,
